nom;type;prérequis str;prérequis end;prérequis dex;prérequis int;prérequis wis;prérequis archerie;prérequis attaque;bonus str;bonus end;bonus dex;bonus int;bonus  wis;prérequis archerie;prérequis attaque;ca;puissance terre;puissance eau;puissance air;puissance feu;puissance lumière;puissance nécromancie;résistance terre;résistance eau;résistance air;résistance feu;résistance lumière;résistance nécromancie;attaque;esquive;archerie;parade;coup puissant;coup assommant;coup critique;transpercer l'armure;guérison rapide;méditation;immobilisation;profusion de mana;vol;se cacher;piller;chercher;métier;effet;remarque
Bracelet  Gobelin;Bracelets;;24;;43;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;30;;;;;;;;Bonus +5 Classe Armure +30 Guérison Rapide +30 Méditation | Prérequis Endurance 24 Sagesse 10 Intelligence 43 Encombrement  1 Obtention Gobelin ??? | ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★           Haut de page     N'hésitez pas à signaler les erreurs ou bizarreries que vous pourriez rencontrer sur cette page. Merci. | ;
Les Boucliers;Boucliers et Focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bol du dragon;Boucliers et Focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Bonus +10 CA +10 chance (+10 +level/5) all stat | Prérequis Encombrement 5 | Obtention : Quête ""la chasse aux Dragons"" | ";
Targe en frêne;Boucliers et Focus;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;-5;;5;;;;;;;;;;;;;;Bonus +3 CA +5 Parade -5 Esquive | Prérequis Endurance 40 Encombrement 6 | Obtention : Ebéniste level 7 | ;
Rondache en orme;Boucliers et Focus;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;-12;;;;5;;;;;;;;;;;;Bonus +4 CA +5 Coup Assommant -12 Esquive | Prérequis Endurance 45 Encombrement 6 | Obtention : Ebéniste level 16 | ;
Bouclier ancien de la garde d'Orkanis;Boucliers et Focus;;65;;65;25;;;;;;;;;;;;;;;;;3;3;3;3;3;3;;;;;;;;;;;;;;;;;;Bonus +3 CA +3 all résist -? Esquive | Prérequis Endurance 65 Intelligence 65 Sagesse 25 Encombrement 7 | Obtention : Armurier level 22 | ;
Bouclier du Froid;Boucliers et Focus;;120;;;;;;;;;;;;;;;;;;;;;;;-10;;;;-17;;;;;;;;;;;;;;;;"Bonus +8 CA Puissance eau +5 Résistance eau +10 Puissance feu -5 Résistance feu -10 Esquive -17 | Prérequis Endurance 120 Encombrement 12 | Obtention : Quête ""Le Forgeron de Niève"" | ";
Rondache du froid intense;Boucliers et Focus;;125;;111;34;;;;;;;;;;;;;;;;;;;;-10;;;;-19;;;;;;;;;;;;;;;;Bonus +8 CA Puissance eau +5 Résistance eau +5 Puissance feu -10 Résistance feu -10 Esquive -19 | Prérequis Endurance 125 Sagesse 34 Intelligence 111 Encombrement 8 | Obtention : Armurier level 49 | ;
Pavois de Serisiss;Boucliers et Focus;;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5;;;;;;;Bonus +8 CA -10 all caractéristiques -5 Immobilisation | Prérequis Endurance 140 Encombrement 10 | Obtention : Armurier level 70 | ;
Bouclier des abysses;Boucliers et Focus;;45;;45;45;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus :+20 CA ,+10 puissance terre / nécro,+10 résist terre/nécro, -10 puissance feu / lumière, -10 résist feu / lumière. | Prérequis :80 Endurance, 45 sagesse et intel | Obtention : Beholder des Abysses (DI) | ;
Bouclier B'Ronkhanique;Boucliers et Focus;350;220;;;;;800;;;;;;;;;;;;;;;;;;;;;;;;5;15;15;;5;;;;;;;;;;Bonus : +28 CA, +15 Coup Assommant +15 Coup Puissant, +15 Parade, +5 Transpercer armure | Prérequis : Force 350, Endurance 220, Attaque 800 | Obtention : Drakes B'Ronkhan, cave Humterre (DI) | ;
Bouclier des Hautes Créatures;Boucliers et Focus;240;300;80;;;;1000;;;;;;;;;;;;;;;;;;;;;;;;5;5;5;;;;;;;;;;;;Bonus : +41 CA, +25 Parade, +5 Coup Puissant, +5 Coup Assommant | Prérequis : Force 240, Endurance 300, Dextérité 80, Attaque 1000 | Obtention : Skraugs bleus, île Lune | ;
Bouclier de Liridell (cabossé, de qualité, enchanté);Boucliers et Focus;;370;;;;;;;;;;;;;;;;;;;;;;;;;;;-200;;10;;;;;;;;;;;;;;Bonus : +52 CA, +25 Parade | cabossé : +65 CA, +10CP et parade, -200 esquive de qualité : +52 CA, +25 Parade, +10 CP enchanté : +52 CA, +25 Parade, +10 CP, sort météore aléatoire | Prérequis : Endurance 370 | Obtention : Dragon Liridell (DI) | ;
Bouclier Métrolite;Boucliers et Focus;350;220;;;;;800;;;;;;;;;;;;;;;;;;;;;;;;5;15;15;;5;;;;;;;;;;Bonus : +28 CA, +15 Coup Assommant, +15 Coup Puissant, +15 Parade, +5 Transpercer armure | Prérequis : Force 350, Endurance 220, Attaque 800 | Obtention : Quête d'Eiden | ;
Bouclier du preux et Bouclier du preux noir;Boucliers et Focus;400;340;80;;300;;;;50;;;;;;;;;;;;;5;5;5;5;5;5;;-85;;40;10;;;;;;5;;;;;;;Bonus : | +71 CA -85 esquive +5 Puissance lumière -10 résist nécro +5 résist lumière +5 immobilisation +10 Coup Puissant +40 Parade +50 Endurance +5 all résist | Prérequis : Force 400, Endurance 340, Dextérité 80, Sagesse 300, Encombrement 14 | Obtention : Armurier level 100 | Obtention version noire : Armurier level 100 | ;
Ecu du croisé et Ecu du croisé noir;Boucliers et Focus;469;220;95;120;350;;;;;;;;;;;;;;;;;5;5;5;5;5;5;;-55;;12;12;12;;12;;;;8;;;;;;Bonus : | +25 CA -55 esquive +12 Coup Assommant +12 Coup Puissant +12 Parade +12 Transpercer Armure +8 Profusion de mana +10 puissance lumière +5 résist air feu eau terre -15 résist nécro (anc +10 maj du 4/4/18) | Prérequis : Force 469, Endurance 220, Dextérité 95, Intelligence 120, Sagesse 350, Encombrement 4 | Obtention : Armurier level 100 | Obtention version noire : Armurier level 100 | ;
Targe du belluaire et Targe du belluaire noire;Boucliers et Focus;736;340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;30;20;;;;;;;;;;;;Bonus : +48 CA, +15 Coup Assommant, +20 Coup Puissant, +30 Parade | Prérequis : Force 736, Endurance 340, Encombrement 11 | Obtention : Armurier level 108 | Obtention version noire : Armurier level 108 | ;
Bouclier du pourfendeur de mage;Boucliers et Focus;800;100;97;156;34;;800;;;;;;;;;;;;;;;12;12;12;12;12;12;;;;;15;15;;15;;;;;;;;;;Bonus : +17 CA, +15 Coup Assommant, +15 Coup Puissant, +15 Transpercer Armure, +45 Force, +12 all résist | Prérequis : Force 500, Attaque 800, Endurance 100, Intelligence 156, Sagesse 34, Dextérité 97, Encombrement 6 | Obtention : Armurier level 108 | ;
Focus;Boucliers et Focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Améthyste focus de pouvoir;Boucliers et Focus;;;;28;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus :+25 puissance lumière, -15 puissance nécro, -10 résistance nécro terre eau feu, +20 retour à la vie | Prérequis : Sagesse 97, Intelligence 28 | Obtention : Liridell | ;
Onyx focus de pouvoir (équilibrage);Boucliers et Focus;;;;112;21;;;;;;;;;;;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;;;;;;;;;;;;;;;;;;Bonus :+25 puissance nécro, -15 puissance eau feu, -10 résistance air terre eau feu | Prérequis : Sagesse 21, Intelligence 112 | Obtention : Liche ancestrale | (les focus Rubis (feu), Saphir (eau), Diamant (air) et Emeraude (terre), ne sont pas spécifiques à NMS). | ;
Pierre étoilée;Boucliers et Focus;;;;60;60;;;;;;;;;;;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;;;;;;;;;;;;;;;;;;Bonus :+18 all puissances / -10 all résistances | Prérequis : Sagesse 60, Intelligence 60 | Obtention : Quête des items étoilés de l'ile Lune | ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★           Haut de page     N'hésitez pas à signaler les erreurs ou bizarreries que vous pourriez rencontrer sur cette page. Merci. | ;
Les Armes de Mêlée NMS;Armes de mêlée;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 Gourdin de Gob' (+3);Armes de mêlée;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : néant Dommages : 3-6 Bonus : +50% attaque Prix de vente : 38 Encombrement : 8 Obtention :  Forgeron 1 Divers : 1 main | ;
24 Rapière du bretteur (+3);Armes de mêlée;24;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 24 Dommages : 9-16 Bonus : +50% attaque Prix de vente : 806 Encombrement : 7 Obtention :  Forgeron 3 Divers : 1 main | ;
24 Dague en ivoire (+3);Armes de mêlée;24;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 24 Dommages : 9-15 Bonus : +50% Attaque Prix de vente : 805 Encombrement : 4 Obtention : Gobelin Farfelu, Forgeron 5 | ;
33 Cimeterre à pommeau isolant;Armes de mêlée;33;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;Prérequis : Force 33 Dommages : 10-18 Bonus : +10 force, +5 résist air Encombrement : 7 Obtention : Forgeron 7 | ;
39 Cognée de bucheron (+3);Armes de mêlée;39;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 39 Dommages : 20-33 Bonus : +50% attaque Prix de vente : 3.148 Encombrement : 10 Obtention : Forgeron 9 Divers : 1 main | ;
40 Masse des Ogres (+3);Armes de mêlée;41;;;;41;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 40, sagesse 41 Dommages : 26-42 Bonus : +50% attaque Prix de vente : 7.021 Encombrement : 9 Obtention : Forgeron 13 Divers : 1 main | ;
53 Epée courte d'Orkanis (+3);Armes de mêlée;53;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 53 Dommages : 24-38 Bonus : +50% attaque Prix de vente 7.021 Encombrement : 6 Obtention : Forgeron 15, Prolifique  (Arakas, île aux Démonicons) Divers : 1 main | ;
53 Fleuret;Armes de mêlée;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prérequis : Force 53 Dommages : 16-25 Prix de vente : 1.755 Encombrement : 6 Obtention : Prolifique (Arakas, île aux Démonicons) Divers : 1 main | ;
53 Epée du froid;Armes de mêlée;53;;;;;;;20;;20;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;"Prérequis : Force 53 Dommages : 26-43 Bonus : +5 Dext et Force, +20% attaque, lance parfois un sort de glace (type ""gel"") Encombrement : 6 Obtention : Gobelin gardien des glaces Divers : 1 main | ";
53 Epée du froid de main gauche (dual);Armes de mêlée;53;;;;;;;20;;20;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;"Prérequis : Force 53 Dommages : 26-43 Bonus : +5 Dext et Force, +20% attaque, lance parfois un sort de glace (type ""gel"") Encombrement : 6 Obtention : Gobelin gardien des glaces Divers : Main gauche | ";
68 Couteau de cuisine Nain (+3);Armes de mêlée;68;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 68 Dommages : 40-58 Bonus : +50% attaque Prix de vente : 12.430 Encombrement : 4 Obtention : Forgeron 17 Divers : 1 main | ;
70 Lance d'alourdissement (2 mains);Armes de mêlée;40;;;42;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prérequis : Force 70, Sagesse 40, Intelligence 42 Dommages : 21-25 Bonus : ?? Prix de vente : ? Encombrement : 8 Obtention : Ebéniste 43 Divers : 2 mains | ;
71 Épée d'argent (2 mains);Armes de mêlée;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prérequis : Force 71 Dommages : 59-92 Prix de vente : 11.324 Encombrement : 8 Obtention : Dragon Freidaclan (RD) Divers : 2 mains | ;
80 Lance d'alourdissement important (2 mains);Armes de mêlée;43;;;56;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prérequis : Force 80, Sagesse 43, Intelligence 56 Dommages : 21-30 Bonus : ?? Prix de vente : ? Encombrement : 8 Obtention : Ebéniste 67 Divers : 2 mains | ;
82 Sabre à crosse de nacre (+3);Armes de mêlée;82;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 82 Dommages : 42-66 Bonus : +50% attaque Prix de vente : 19.372 Encombrement : 8 Obtention : Forgeron 19 Divers : 1 main | ;
97 Dague d'obscurantis (+3);Armes de mêlée;97;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 97 Dommages : 61-87 Bonus : +50% attaque Prix de vente : 27.849 Encombrement : 4 Obtention : Forgeron 27 Divers : 1 main | ;
97 Dague d'obscurantis de main gauche (dual) (+3);Armes de mêlée;97;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 97 Dommages : 61-87 Bonus : +50% attaque Prix de vente : 27.849 Encombrement : 4 Obtention : Forgeron 29 Divers : main gauche | ;
126 Dague de jade (+3);Armes de mêlée;126;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 126 Dommages : 82-115 Bonus : +50% attaque Prix de vente : 49.404 Encombrement : 4 Obtention : Forgeron 36 Divers : 1 main | ;
140 Épée incrustée de glace de main gauche (dual) (+3);Armes de mêlée;140;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;"Prérequis : Force 140 Dommages : 74-115 Bonus : +50% attaque, une chance de lancer un sort de glace (type ""gel"") Prix de vente : 19.620 Encombrement : 8 Obtention : Quête Le Forgeron Durikh Divers : Main gauche | ";
155 Cimeterre du Zéphyr (+3);Armes de mêlée;155;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 155 Dommages 87-134 Bonus : +50% attaque Prix de vente 77.094 Encombrement : 8 Obtention : Forgeron 41 Divers : 1 main | ;
155 Cimeterre du Zéphyr de main gauche (dual) (+3);Armes de mêlée;155;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 155 Dommages 87-134 Bonus : +50% attaque Encombrement : 8 Obtention : Forgeron 48 Divers : Main gauche | ;
155 Hachette d'acier fin (+3);Armes de mêlée;155;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 155 Dommages 94-145 Bonus : +50% attaque Encombrement : 10 Obtention : Forgeron 49 Divers : 1 main | ;
155 Hachette d'acier fin de main gauche (dual) (+3);Armes de mêlée;155;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 155 Dommages 94-145 Bonus : +50% attaque Encombrement : 10 Obtention : Forgeron 51 Divers : Main gauche | ;
175 Poings du pugiliste (2 mains) (+2);Armes de mêlée;39;;;78;39;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;Prérequis : Force 175, Sagesse 39, Intelligence 78 Dommages : 92-141 Bonus : +6 CA, +30% attaque Encombrement : 8 Obtention : Armurier 78 Divers : 2 mains | ;
184 Dague de l'assassin de main gauche (dual) (+3);Armes de mêlée;184;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 184 Dommages : 100-153 Bonus : +50% attaque Prix de vente : 0 Encombrement : 5 Obtention : Forgeron 53 Divers :  main gauche | ;
184 Hache de guerre Baatorienne (2 mains) (+3);Armes de mêlée;184;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 184 Dommages : 137-209 Bonus : +50% attaque Prix de vente : 0 Encombrement : 13 Obtention : Forgeron 55 Divers : 2 mains | ;
242 Epée de la Rose Noire de main gauche (dual) (+3);Armes de mêlée;242;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 242 Dommages : 151-230 Bonus : +50% attaque Prix de vente : 49.245 Encombrement : 10 Obtention : Forgeron 57 Divers :  main gauche | ;
300 Lame vipérine de main gauche (dual) (+3);Armes de mêlée;300;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;Prérequis : Force 300 Dommages : 151-230 Bonus : +10% attaque, +??% compétence ambidextrie Prix de vente : 0 Encombrement : 5 Obtention : Forgeron 60 Divers :  main gauche | ;
317 Kandjar de destinée;Armes de mêlée;317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prérequis : Force 317 Dommages : 127-178 Bonus : lance parfois un sort qui téléporte l'adversaire à son sanctuaire Encombrement : 6 Obtention : Forgeron 61 Divers : 1 main | ;
320 Épée de glace incrustée de saphir de main gauche (dual) (+3);Armes de mêlée;320;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 320 Dommages : 181 - 275 Bonus : +25 puissance eau, +20 résistance eau +50% attaque Malus : -15 résistance feu Prix de vente : 115.366 Encombrement : 10 Obtention : Drop des ZartGax (Niève, RD) Divers : Main gauche | ;
320 Lame enchantée (+2);Armes de mêlée;320;;40;;;;800;25;25;;;;;;;;;;;;;-10;-10;-10;-10;-10;-10;30;;;;;;;;;;;;;;;;;"Prérequis : Force 320, Dextérité 40, Attaque 800 Dommages : 142-228 Bonus: +25 force et endurance, une chance de lancer un sort de feu (type ""flamme"") +30% attaque Malus : -10 à toutes les résistances sauf au feu Encombrement : 0 Obtention : Drop Draconigus invoqué majeur (désert RD), différents coffres de Drake Island Divers : 1 main | ";
320 Lame enchantée de main gauche (+2);Armes de mêlée;320;;40;;;;800;25;25;;;;;;;;;;;;;-10;-10;-10;-10;-10;-10;30;;;;;;;;;;;;;;;;;"Prérequis : Force 320, Dextérité 40, Attaque 800 Dommages : 142-228 Bonus: +25 force et endurance, une chance de lancer un sort de feu (type ""flamme"") +30% attaque Malus : -10 à toutes les résistances sauf au feu Encombrement : 0 Obtention : Forgeron 65 Divers : main gauche | ";
324 Fleuret de défaillance;Armes de mêlée;324;;;105;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prérequis : Force 324, intelligence 105, sagesse 19 Dommages : 87-131 Obtention : Forgeron 63 Prix de vente: 62.304 Encombrement : 7 Divers: 1 main | ;
372 Lame de perdition ??;Armes de mêlée;372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prérequis : Force 372 Dommages : 122-190 Prix : 360.269 (chez ???) Prix de vente: 120.089 Encombrement : 5 Divers: 1 main | ;
372 Lame de perdition enchantée (+1);Armes de mêlée;372;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;Prérequis : Force 372 Dommages : 140-218 Bonus : +15% attaque Prix : 1.080.807 (Regynia, à l'Est des douves de RW) Prix de vente: 240.179 Encombrement : 5 Divers: 1 main | ;
372 Lame de perdition runique (+2);Armes de mêlée;372;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;Prérequis : Force 372 Bonus : +30% attaque Dommages : 158-247 Prix : 3.602.690 (Ayanis, NO sous-sol métier RW) Prix de vente: 360.269 Encombrement : 5 Divers : 1 main | ;
372 Eventreuse (+3);Armes de mêlée;372;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 372 Bonus : +50% attaque Dommages : 183-285 Prix : 14.410.767 (Sphodros, montagnes est RW, (900,1400,3)) (il faut avoir tué une vingtaine de drakes pour qu'il vous parle) Prix de vente : 480.358 Encombrement : 5 Divers : 1 main | ;
372 Eventreuse de main gauche (+3);Armes de mêlée;372;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 372 Bonus : +50% attaque Dommages : 183-285 Obtention : Forgeron 67 Prix de vente : 480.358 Encombrement : 5 Divers : main gauche | ;
372 Éventreuse étoilée (+4) Existe plus;Armes de mêlée;372;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;Prérequis : Force 372 Bonus : +60% attaque, +10 CP CAss TA Dommages : 235-286 Obtention : ?? Prix de vente: 980.353 Encombrement : 5 Divers: 1 main | Elle n'existe plus depuis la Maj de l'or | ;
387 Épée Batarde d'Adamantium (+3);Armes de mêlée;387;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 387 Dommages : 211-331 Bonus : +50% attaque Prix de vente : 224.877 Encombrement 10 Obtention : Drop du Dragon LivoxDrinn ( SH ) Divers: 1 main | ;
459 Cimeterre de Rubis (+3);Armes de mêlée;459;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 459 Dommages : 212-339 Bonus : +50% attaque Encombrement : 8 Prix de vente : 298.755 Obtention : quete de l ile de lune Divers: 1 main | ;
459 Cimeterre de Rubis de main gauche (dual) (+3);Armes de mêlée;459;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 459 Dommages : 212-339 Bonus : +50% attaque Encombrement : 8 Prix de vente : 298.755 Obtention : Forgeron 72 Divers:  main gauche | ;
474 Epée à deux mains en titane (+2);Armes de mêlée;474;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;Prérequis : Force 474 Dommages : 243-391 Bonus : +30% attaque, +??% coup critique Encombrement : 12 Prix de vente : 196.667 Obtention : Forgeron 73 Divers: 2 mains | ;
532 Épée de Diamants (+3);Armes de mêlée;532;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 532 Dommages 249-406 Bonus : +50% attaque Prix: 29.863.487 (Sphodros, montagnes à l'Est de RW (900,1400,3)) (il faut avoir tué une vingtaine de drakes pour qu'il vous parle) Prix de vente : ?? Encombrement : 10 Divers: 1 main | ;
532 Épée de Diamants de main gauche (+3);Armes de mêlée;532;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 532 Dommages 249-406 Bonus : +50% attaque Obtention : Forgeron 77 Prix de vente : ?? Encombrement : 10 Divers: main gauche | ;
590 Epée de Liridell (2 mains) (+4);Armes de mêlée;590;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;Prérequis : Force 590 Dommages : 317-524 Bonus : +60% attaque, +10 CP CAss TA Encombrement : 14 Obtention : Drop du dragon Liridell (Est désert DI) Divers: 2 mains | ;
590 Hache de Liridell (2 mains) (+4);Armes de mêlée;590;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;Prérequis : Force 590 Dommages : 423-699 Bonus : +60% attaque, +10 Immob CAss TA Encombrement : 16 Obtention : Drop du dragon Liridell (désert DI) Divers: 2 mains | ;
662 Cimeterre des Ancêtres;Armes de mêlée;662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prérequis : Force 662 Dommages : 169-281 Prix : 1.064.906 (Nyctos, une maison de RW) Prix de vente: 354.968 Divers: 1 main | ;
662 Cimeterre des Ancêtres Enchanté (+1);Armes de mêlée;662;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;Prérequis : Force 662 Bonus : +15% attaque Dommages : 194-324 Prix : 3.194.718 (Regynia, à l'Est des douves de RW) Prix de vente: 709.937 Divers: 1 main | ;
662 Cimeterre des Ancêtres Runique (+2);Armes de mêlée;662;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;Prérequis : Force 662 Bonus : +30% attaque Dommages : 219-366 Prix : 10.649.060 (Ayanis, sous-sol métiers RW, au NO) Prix de vente: 1.064.906 Divers : 1 main | ;
662 Cimeterre incrusté d'émeraudes (+3);Armes de mêlée;662;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 662 Bonus : +50% attaque Dommages : 253-422 Prix : 42.596.240 (Sphodros, montagnes à l'Est de RW (900,1400,3)) (il faut avoir tué une vingtaine de drakes pour qu'il vous parle) Prix de vente: 1.554.945 Divers : 1 main | ;
662 Cimeterre incrusté d'émeraudes de main gauche (dual) (+3);Armes de mêlée;662;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 662 Bonus : +50% attaque Dommages : 253-422 Obtention : Forgeron 79 Prix de vente: 1.554.945 Divers : main gauche | ;
677 Epée bâtarde des Ancêtres;Armes de mêlée;677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prérequis : Force: 677 Dommages : 188-316 Prix : 1.166.209 (Nyctos, une maison de RW) Prix de vente: 388.736 Encombrement : 10 Divers : 1 main | ;
677 Epée bâtarde des Ancêtres Enchantée (+1);Armes de mêlée;677;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;Prérequis : Force: 677 Bonus : +15% attaque Dommages : 217-363 Prix: 3.498.627 (Regynia à l'Est des douves de RW) Prix de vente: 777.472 Encombrement : 10 Divers : 1 main | ;
677 Epée bâtarde des Ancêtres Runique (+2);Armes de mêlée;677;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;Prérequis : Force 677 Bonus : +30% attaque Dommages : 245-411 Prix: 11.662.090 (Ayanis, sous-sol métiers RW, au NO) Prix de vente: 1.166.209 Encombrement : 10 Divers : 1 main | ;
677 Épée des braves (+3);Armes de mêlée;677;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 677 Bonus : +50% attaque Dommages : 286-481 Prix : 46.648.360 (Sphodros, montagnes à l'Est de RW (900,1400,3)) (il faut avoir tué une vingtaine de drakes pour qu'il vous parle) 54.000.000 (Rilouf, SH (780,1080)) Prix de vente: 1.554.945 Encombrement : 10 Divers : 1 main | ;
677 Épée des braves de main gauche (+3);Armes de mêlée;677;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;Prérequis : Force 677 Bonus : +50% attaque Dommages : 286-481 Obtention : Forgeron 81 Prix de vente: 1.554.945 Encombrement : 10 Divers : main gauche | ;
691 Épée à deux mains des ancêtres;Armes de mêlée;691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prérequis : Force 691 Dommages : 235-397 Prix : 1.326.793 (Nyctos, une maison de RW) Prix de vente: 442.264 Divers : 2 mains | ;
691 Épée à deux mains des ancêtres Enchantée (+1);Armes de mêlée;691;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;Prérequis : Force 691 Bonus : +15% attaque Dommages : 270-457 Prix: 3.980.379 (Regynia, à l'Est des douves de RW) Prix de vente : 884.528 Divers : 2 mains | ;
